qtd. vectors,0
43,2706
37,2690
62,2388
56,2348
49,2299
69,1989
75,1582
81,1194
30,968
88,962
94,838
101,688
107,600
113,554
120,518
126,481
133,476
139,449
145,395
152,383
165,371
158,344
177,331
171,330
184,303
216,279
197,272
203,271
209,267
190,265
222,264
235,255
248,239
229,236
241,218
254,186
267,184
273,176
261,176
286,167
293,158
280,155
305,143
299,140
312,124
318,117
331,109
337,105
325,103
344,90
363,88
350,87
357,82
382,70
389,66
369,65
24,64
395,63
376,62
408,52
427,52
414,51
401,50
433,46
421,45
446,44
440,34
485,29
472,26
453,26
510,25
478,24
465,24
459,24
497,21
549,18
523,17
517,17
491,17
504,15
536,15
529,14
561,13
555,10
638,10
613,10
581,10
593,10
542,9
574,9
632,8
568,8
587,7
619,7
600,6
625,6
651,6
17,6
606,5
645,5
696,4
664,4
130,4
709,4
734,3
131,3
657,3
702,3
689,3
150,3
677,3
741,3
747,2
779,2
830,2
773,2
837,2
721,2
728,2
715,2
683,2
670,2
10,2
313,2
128,2
294,2
178,2
246,2
143,2
271,2
274,2
124,2
215,2
349,2
330,2
849,1
901,1
147,1
149,1
157,1
161,1
163,1
167,1
140,1
169,1
170,1
176,1
913,1
188,1
191,1
199,1
142,1
138,1
843,1
888,1
15,1
16,1
817,1
811,1
798,1
27,1
60,1
760,1
753,1
85,1
862,1
206,1
129,1
134,1
875,1
354,1
224,1
208,1
223,1
297,1
303,1
309,1
432,1
12,1
314,1
315,1
412,1
410,1
319,1
406,1
322,1
328,1
384,1
338,1
378,1
372,1
454,1
292,1
289,1
247,1
370,1
234,1
238,1
239,1
240,1
242,1
548,1
249,1
281,1
252,1
253,1
258,1
259,1
498,1
263,1
269,1
926,1
